Question,Answer
What is (are) Combined malonic and methylmalonic aciduria ?,"Combined malonic and methylmalonic aciduria (CMAMMA) is an inherited condition in which certain chemicals accumulate in the blood and urine of affected individuals. People with CMAMMA can have a wide variety of symptoms. Children with CMAMMA can suffer from developmental delays and a failure to gain weight and grow (failure to thrive). In those who were identified as adults, symptoms may include psychiatric features and neurological problems that can mimic Alzheimer's disease and multiple sclerosis. Recently, researchers have found that mutations in the ACSF3 gene cause CMAMMA."
What are the symptoms of Uhl anomaly ?,"What are the signs and symptoms of Uhl anomaly? The Human Phenotype Ontology provides the following list of signs and symptoms for Uhl anomaly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the endocardium 90% Abnormality of the pulmonary artery 90% Autosomal dominant inheritance - Heterogeneous - Sudden cardiac death - Ventricular arrhythmia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Is renal tubular dysgenesis inherited ?,"Renal tubular dysgenesis is inherited in an autosomal recessive pattern, which means both copies of the affected gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Alstrm syndrome ?,These resources address the diagnosis or management of Alstrm syndrome:  - Gene Review: Gene Review: Alstrom Syndrome  - Genetic Testing Registry: Alstrom syndrome  - MedlinePlus Encyclopedia: Acanthosis Nigricans  - MedlinePlus Encyclopedia: Alstrm syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
What is (are) cystinuria ?,"Cystinuria is a condition characterized by the buildup of the amino acid cystine, a building block of most proteins, in the kidneys and bladder. As the kidneys filter blood to create urine, cystine is normally absorbed back into the bloodstream. People with cystinuria cannot properly reabsorb cystine into their bloodstream, so the amino acid accumulates in their urine.  As urine becomes more concentrated in the kidneys, the excess cystine forms crystals. Larger crystals become stones that may lodge in the kidneys or in the bladder. Sometimes cystine crystals combine with calcium molecules in the kidneys to form large stones. These crystals and stones can create blockages in the urinary tract and reduce the ability of the kidneys to eliminate waste through urine. The stones also provide sites where bacteria may cause infections."
Is Hemochromatosis inherited ?,"Is hemochromatosis inherited? Hereditary hemochromatosis is inherited in an autosomal recessive or autosomal dominant manner, depending on the type a person has. Types 1, 2, and 3 are inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. Affected people inherit one mutated copy of the gene from each parent, who is referred to as a carrier. Carriers of an autosomal recessive condition typically do not have any signs or symptoms (they are unaffected). When 2 carriers of an autosomal recessive condition have children, each child has a 25% (1 in 4) chance to be affected, a 50% (1 in 2) chance to be an unaffected carrier like each parent, and a 25% chance to be unaffected and not be a carrier. Type 4 is inherited in an autosomal dominant manner. This means having only one mutated copy of the responsible gene in each cell is enough to cause the condition. When a person with an autosomal dominant condition has children, each child has a 50% chance to inherit the mutated copy of the gene. In most cases, a person with type 4 hemochromatosis has one affected parent. Acquired hemochromatosis is not inherited. Neonatal hemochromatosis is also not inherited, but it does appear to be familial. A woman with an affected child has approximately an 80% chance to have another affected child. However, this likelihood of recurrence is not explained by normal inheritance patterns. The underlying cause of this type is not fully understood."
What are the symptoms of Laing distal myopathy ?,"What are the signs and symptoms of Laing distal myopathy? The Human Phenotype Ontology provides the following list of signs and symptoms for Laing distal myopathy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Dilated cardiomyopathy 7.5% Proximal muscle weakness 7.5% Amyotrophy of ankle musculature - Autosomal dominant inheritance - Childhood onset - Distal muscle weakness - Elevated serum creatine phosphokinase - EMG: neuropathic changes - Facial palsy - Gait disturbance - High palate - Infantile onset - Mildly elevated creatine phosphokinase - Myalgia - Neck muscle weakness - Pes cavus - Phenotypic variability - Ragged-red muscle fibers - Scoliosis - Slow progression - Toe extensor amyotrophy - Type 1 muscle fiber predominance - Weakness of long finger extensor muscles - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for Larsen syndrome ?,"These resources address the diagnosis or management of Larsen syndrome:  - Gene Review: Gene Review: FLNB-Related Disorders  - Genetic Testing Registry: Larsen syndrome  - Genetic Testing Registry: Larsen syndrome, dominant type   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
What is (are) laryngo-onycho-cutaneous syndrome ?,"Laryngo-onycho-cutaneous (LOC) syndrome is a disorder that leads to abnormalities of the voicebox (laryngo-), finger- and toenails (onycho-), and skin (cutaneous). Many of the condition's signs and symptoms are related to the abnormal growth of granulation tissue in different parts of the body. This red, bumpy tissue is normally produced during wound healing and is usually replaced by skin cells as healing continues. However, in people with LOC syndrome, this tissue grows even when there is no major injury.  One of the first symptoms in infants with LOC syndrome is a hoarse cry due to ulcers or overgrowth of granulation tissue in the voicebox (the larynx). Excess granulation tissue can also block the airways, leading to life-threatening breathing problems; as a result many affected individuals do not survive past childhood.  In LOC syndrome, granulation tissue also grows in the eyes, specifically the conjunctiva, which are the moist tissues that line the eyelids and the white part of the eyes. Affected individuals often have impairment or complete loss of vision due to the tissue overgrowth.  Another common feature of LOC syndrome is missing patches of skin (cutaneous erosions). The erosions heal slowly and may become infected. People with LOC syndrome can also have malformed nails and small, abnormal teeth. The hard, white material that forms the protective outer layer of each tooth (enamel) is thin, which contributes to frequent cavities.  LOC syndrome is typically considered a subtype of another skin condition called junctional epidermolysis bullosa, which is characterized by fragile skin that blisters easily. While individuals with junctional epidermolysis bullosa can have some of the features of LOC syndrome, they do not usually have overgrowth of granulation tissue in the conjunctiva."
What are the treatments for Polymyositis ?,"How might polymyositis be treated? The treatment of polymyositis is based on the signs and symptoms present in each person. Although there is currently no cure, symptoms of the condition may be managed with the following: Medications such as corticosteroids, corticosteroid-sparing agents, immunosuppressive drugs Physical therapy to improve muscle strength and flexibility Speech therapy to address difficulties with swallowing and speech Intravenous immunoglobulin (healthy antibodies are given to block damaging autoantibodies that attack muscle) Medscape Reference's Web site offers more specific information regarding the treatment and management of polymyositis. Please click on the link to access the resource."
What is (are) Myelodysplastic/ Myeloproliferative Neoplasms ?,"Key Points
                    - Myelodysplastic/myeloproliferative neoplasms are a group of diseases in which the bone marrow makes too many white blood cells.     - Myelodysplastic/myeloproliferative neoplasms have features of both myelodysplastic syndromes and myeloproliferative neoplasms.    - There are different types of myelodysplastic/myeloproliferative neoplasms.    - Tests that examine the blood and bone marrow are used to detect (find) and diagnose myelodysplastic/myeloproliferative neoplasms.
                
                
                    Myelodysplastic/myeloproliferative neoplasms are a group of diseases in which the bone marrow makes too many white blood cells.
                    Myelodysplastic /myeloproliferative neoplasms are diseases of the blood and bone marrow.     Normally, the bone marrow makes blood stem cells (immature cells) that become mature blood cells over time. A blood stem cell may become a myeloid stem cell or a lymphoid stem cell. A lymphoid stem cell becomes a white blood cell. A myeloid stem cell becomes one of three types of mature blood cells:         -  Red blood cells that carry oxygen and other substances to all tissues of the body.     - White blood cells that fight infection and disease.     -  Platelets that form blood clots to stop bleeding.
                
                
                    Myelodysplastic/myeloproliferative neoplasms have features of both myelodysplastic syndromes and myeloproliferative neoplasms.
                    In myelodysplastic diseases, the blood stem cells do not mature into healthy red blood cells, white blood cells, or platelets. The immature blood cells, called blasts, do not work the way they should and die in the bone marrow or soon after they enter the blood. As a result, there are fewer healthy red blood cells, white blood cells, and platelets.   In myeloproliferative diseases, a greater than normal number of blood stem cells become one or more types of blood cells and the total number of blood cells slowly increases.    This summary is about neoplasms that have features of both myelodysplastic and myeloproliferative diseases. See the following PDQ summaries for more information about related diseases:         -  Myelodysplastic Syndromes Treatment     -  Chronic Myeloproliferative Neoplasms Treatment     -  Chronic Myelogenous Leukemia Treatment
                
                
                    There are different types of myelodysplastic/myeloproliferative neoplasms.
                    The 3 main types of myelodysplastic/myeloproliferative neoplasms include the following:         -  Chronic myelomonocytic leukemia (CMML).    -  Juvenile myelomonocytic leukemia (JMML).    - Atypical chronic myelogenous leukemia (CML).        When a myelodysplastic/myeloproliferative neoplasm does not match any of these types, it is called myelodysplastic/myeloproliferative neoplasm, unclassifiable (MDS/MPN-UC).   Myelodysplastic/myeloproliferative neoplasms may progress to acute leukemia."
What is (are) CHOPS syndrome ?,"CHOPS syndrome is rare condition that affects many different parts of the body. ""CHOPS"" is an acronym for the primary signs and symptoms associated with the condition, including cognitive impairment, coarse facial features, heart defects, obesity, pulmonary (lung) problems, short stature, and skeletal abnormalities. CHOPS syndrome is caused by changes (mutations) in the AFF4 gene and is inherited in an autosomal dominant manner. Treatment is based on the signs and symptoms present in each person."
What are the symptoms of Ichthyosis cheek eyebrow syndrome ?,"What are the signs and symptoms of Ichthyosis cheek eyebrow syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Ichthyosis cheek eyebrow syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the palate 90% Asymmetry of the thorax 90% Full cheeks 90% Ichthyosis 90% Pectus excavatum 90% Scoliosis 90% Sparse lateral eyebrow 90% Kyphosis 7.5% Abnormality of the thorax - Autosomal dominant inheritance - High palate - Kyphoscoliosis - Pes planus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for 1q21.1 microdeletion ?,These resources address the diagnosis or management of 1q21.1 microdeletion:  - Gene Review: Gene Review: 1q21.1 Recurrent Microdeletion  - Genetic Testing Registry: 1q21.1 recurrent microdeletion   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
How to diagnose Simple Kidney Cysts ?,"Most simple kidney cysts are found during imaging tests done for other reasons. When a cyst is found, the following imaging tests can be used to determine whether it is a simple kidney cyst or another, more serious condition. These imaging tests are performed at an outpatient center or hospital by a specially trained technician, and the images are interpreted by a radiologista doctor who specializes in medical imaging. Ultrasound may also be performed in a health care providers office. Anesthesia is not needed though light sedation may be used for people with a fear of confined spaces who undergo magnetic resonance imaging (MRI).
                
- Ultrasound. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. An abdominal ultrasound can create images of the entire urinary tract. The images can be used to distinguish harmless cysts from other problems.  - Computerized tomography (CT) scan. CT scans use a combination of x rays and computer technology to create three-dimensional (3-D) images. A CT scan may include the injection of a special dye, called contrast medium. CT scans require the person to lie on a table that slides into a tunnel-shaped device where the x rays are taken. CT scans can show cysts and tumors in the kidneys.  - MRI. MRI machines use radio waves and magnets to produce detailed pictures of the bodys internal organs and soft tissues without using x rays. An MRI may include the injection of contrast medium. With most MRI machines, the person lies on a table that slides into a tunnel-shaped device that may be open ended or closed at one end; some newer machines are designed to allow the person to lie in a more open space. Like CT scans, MRIs can show cysts and tumors."
What is (are) fumarase deficiency ?,"Fumarase deficiency is a condition that primarily affects the nervous system, especially the brain. Affected infants may have an abnormally small head size (microcephaly), abnormal brain structure, severe developmental delay, weak muscle tone (hypotonia), and failure to gain weight and grow at the expected rate (failure to thrive). They may also experience seizures. Some people with this disorder have unusual facial features, including a prominent forehead (frontal bossing), low-set ears, a small jaw (micrognathia), widely spaced eyes (ocular hypertelorism), and a depressed nasal bridge. An enlarged liver and spleen (hepatosplenomegaly) may also be associated with this disorder, as well as an excess of red blood cells (polycythemia) or deficiency of white blood cells (leukopenia) in infancy. Affected individuals usually survive only a few months, but a few have lived into early adulthood."
Is Prader-Willi syndrome inherited ?,"Is Prader-Willi syndrome inherited? Most cases of Prader-Willi syndrome (PWS) are not inherited and are due to random events during the formation of egg or sperm cells, or in early fetal development. This is usually the case when PWS is caused by a deletion in the paternal chromosome 15, or by maternal uniparental disomy. However in rare cases, a genetic change responsible for PWS can be inherited. The risk to family members of a person with PWS depends on the genetic cause of the condition in the affected person. Because the various genetic causes of PWS are complex, people seeking information about specific risks to themselves or family members are encouraged to speak with a genetics professional. More information about the causes of PWS can be viewed on our Web site here."
What are the symptoms of Dengue fever ?,"What are the signs and symptoms of Dengue fever? The Human Phenotype Ontology provides the following list of signs and symptoms for Dengue fever. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of temperature regulation 90% Migraine 90% Abdominal pain 50% Arthralgia 50% Pruritus 50% Skin rash 50% Ascites 7.5% Bruising susceptibility 7.5% Diarrhea 7.5% Epistaxis 7.5% Gastrointestinal hemorrhage 7.5% Gingival bleeding 7.5% Hepatomegaly 7.5% Hypoproteinemia 7.5% Hypotension 7.5% Intracranial hemorrhage 7.5% Leukopenia 7.5% Nausea and vomiting 7.5% Reduced consciousness/confusion 7.5% Sudden cardiac death 7.5% Thrombocytopenia 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
How many people are affected by Costeff syndrome ?,"Costeff syndrome affects an estimated 1 in 10,000 individuals in the Iraqi Jewish population, in which at least 40 cases have been described. Outside this population, only a few affected individuals have been identified."
What is (are) Panic Disorder ?,"Panic disorder is a type of anxiety disorder. It causes panic attacks, which are sudden feelings of terror when there is no real danger. You may feel as if you are losing control. You may also have physical symptoms, such as       - Fast heartbeat    - Chest or stomach pain    - Breathing difficulty    - Weakness or dizziness    - Sweating    - Feeling hot or a cold chill    - Tingly or numb hands       Panic attacks can happen anytime, anywhere, and without warning. You may live in fear of another attack and may avoid places where you have had an attack. For some people, fear takes over their lives and they cannot leave their homes.    Panic disorder is more common in women than men. It usually starts when people are young adults. Sometimes it starts when a person is under a lot of stress. Most people get better with treatment. Therapy can show you how to recognize and change your thinking patterns before they lead to panic. Medicines can also help.    NIH: National Institute of Mental Health"
What to do for Primary Hyperparathyroidism ?,"- Primary hyperparathyroidism is a disorder of the parathyroid glands, in which one or more of the parathyroid glands are overactive. As a result, the gland releases too much parathyroid hormone (PTH).  - High PTH levels trigger the bones to release increased calcium into the blood, causing blood calcium levels to rise above normal. T he loss of calcium from bones may weaken the bones. In response to high blood calcium levels, the kidneys excrete more calcium in the urine, which can lead to kidney stones.  - Most people with primary hyperparathyroidism have no symptoms. When symptoms appear, they are often mild and nonspecific, such as muscle weakness, fatigue, increased need for sleep, feelings of depression, or aches and pains in bones and joints.  - People with more severe primary hyperparathyroidism may have symptoms such as loss of appetite, nausea, vomiting, constipation, confusion or impaired thinking and memory, and increased thirst and urination.  - Health care providers diagnose primary hyperparathyroidism when a person has high blood calcium and PTH levels.  - Surgery to remove the overactive parathyroid gland or glands is the only definitive treatment for the disorder. When performed by experienced endocrine surgeons, surgery cures primary hyperparathyroidism in more than 95 percent of operations. Some people who have mild primary hyperparathyroidism may not need immediate or even any surgery and can be safely monitored. People with primary hyperparathyroidism due to familial hypocalciuric hypercalcemia should not have surgery."
What are the symptoms of Keratosis follicularis dwarfism and cerebral atrophy ?,"What are the signs and symptoms of Keratosis follicularis dwarfism and cerebral atrophy? The Human Phenotype Ontology provides the following list of signs and symptoms for Keratosis follicularis dwarfism and cerebral atrophy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Alopecia 90% Cerebral cortical atrophy 90% Hyperkeratosis 90% Microcephaly 90% Short stature 90% Abnormality of the eyelashes 50% Aplasia/Hypoplasia of the eyebrow 50% Absent eyebrow - Absent eyelashes - Cerebral atrophy - Death in childhood - Generalized keratosis follicularis - Severe short stature - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Familial joint instability syndrome ?,"What are the signs and symptoms of Familial joint instability syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial joint instability syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the hip bone 90% Joint hypermobility 90% Patellar dislocation 90% Abnormality of the elbow 7.5% Abnormality of the femur 7.5% Abnormality of the shoulder 7.5% Hernia of the abdominal wall 7.5% Autosomal dominant inheritance - Congenital hip dislocation - Joint laxity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the genetic changes related to fatty acid hydroxylase-associated neurodegeneration ?,"Mutations in the FA2H gene cause FAHN. The FA2H gene provides instructions for making an enzyme called fatty acid 2-hydroxylase. This enzyme modifies fatty acids, which are building blocks used to make fats (lipids). Specifically, fatty acid 2-hydroxylase adds a single oxygen atom to a hydrogen atom at a particular point on a fatty acid to create a 2-hydroxylated fatty acid. Certain 2-hydroxylated fatty acids are important in forming normal myelin; myelin is the protective covering that insulates nerves and ensures the rapid transmission of nerve impulses. The part of the brain and spinal cord that contains myelin is called white matter.  The FA2H gene mutations that cause FAHN reduce or eliminate the function of the fatty acid 2-hydroxylase enzyme. Reduction of this enzyme's function may result in abnormal myelin that is prone to deterioration (demyelination), leading to a loss of white matter (leukodystrophy). Leukodystrophy is likely involved in the development of the movement problems and other neurological abnormalities that occur in FAHN. Iron accumulation in the brain is probably also involved, although it is unclear how FA2H gene mutations lead to the buildup of iron.  People with FA2H gene mutations and some of the movement problems seen in FAHN were once classified as having a separate disorder called spastic paraplegia 35. People with mutations in this gene resulting in intellectual decline and optic nerve atrophy were said to have a disorder called FA2H-related leukodystrophy. However, these conditions are now generally considered to be forms of FAHN."
What is (are) Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature ?,"Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature, also known as CANDLE syndrome, is a rare autoinflammatory condition. Signs and symptoms generally develop during the first year of life and may include recurrent fevers, purpura, swollen eyelids, joint pain, contractures, developmental delay and progressive lipodystrophy. CANDLE syndrome is often caused by changes (mutations) in the PSMB8 gene and is inherited in an autosomal recessive manner. In some cases, the underlying genetic cause is unknown. There is currently no cure for the condition. Treatment is based on the signs and symptoms present in each person."
What is (are) Weaver syndrome ?,"Weaver syndrome is a rare condition that is characterized primarily by tall stature. Other signs and symptoms of the condition may include macrocephaly (unusually large head size); intellectual disability; distinctive facial features; camptodactyly (permanently bent digits) of the fingers and/or toes; poor coordination; soft and doughy skin; umbilical hernia; abnormal muscle tone; and a hoarse, low-pitched cry during infancy. Some studies also suggest that people affected by Weaver syndrome may have an increased risk of developing neuroblastoma. Weaver syndrome is usually caused by changes (mutations) in the EZH2 gene. Although the condition is considered autosomal dominant, most cases occur as de novo mutations in people with no family history of the condition. Treatment is based on the signs and symptoms present in each person."
What are the symptoms of Progeroid syndrome Petty type ?,"What are the signs and symptoms of Progeroid syndrome Petty type? The Human Phenotype Ontology provides the following list of signs and symptoms for Progeroid syndrome Petty type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal dermatoglyphics 90% Abnormality of hair texture 90% Abnormality of the eyelashes 90% Abnormality of the fontanelles or cranial sutures 90% Anonychia 90% Broad forehead 90% Cutis laxa 90% Decreased skull ossification 90% Epicanthus 90% Hypertrichosis 90% Intrauterine growth retardation 90% Lipoatrophy 90% Low-set, posteriorly rotated ears 90% Mandibular prognathia 90% Prematurely aged appearance 90% Reduced number of teeth 90% Sacrococcygeal pilonidal abnormality 90% Shagreen patch 90% Short distal phalanx of finger 90% Short stature 90% Strabismus 90% Thick eyebrow 90% Umbilical hernia 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
How many people are affected by chorea-acanthocytosis ?,"It is estimated that 500 to 1,000 people worldwide have chorea-acanthocytosis."
What is (are) Heart Failure ?,More detailed information on heart failure is available at http://www.nhlbi.nih.gov/health/dci
What is (are) Psoriatic Arthritis ?,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get them on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body.    Some people with psoriasis have psoriatic arthritis. It causes pain, stiffness, and swelling of the joints. It is often mild, but can sometimes be serious and affect many joints. The joint and skin problems don't always happen at the same time.    Your doctor will do a physical exam and imaging tests to diagnose psoriatic arthritis. There is no cure, but medicines can help control inflammation and pain. In rare cases, you might need surgery to repair or replace damaged joints."
How to diagnose Prevent diabetes problems: Keep your diabetes under control ?,"This chart lists important tests, exams, and vaccines to get at least once or twice a year.
                
Tests, Exams, and Vaccines to Get at Least Once or Twice a Year    Make Sure to          A1C test             - Have this blood test at least twice a year. Your result will tell you what your average blood glucose level was for the past 3 months.            Cholesterol test             - Get a blood test to check your              - total cholesterol        - LDL        - HDL        - triglycerides                  Kidney tests             - Once a year, get a urine test to check for protein.      - At least once a year, get a blood test to check for creatinine, a waste product healthy kidneys remove from the body.            Eye exam             - See an eye doctor once a year for a complete eye exam that includes using drops in your eyes to dilate your pupils.      - If you are pregnant, have a complete eye exam in your first 3 months of pregnancy. Have another complete eye exam 1 year after your baby is born.            Dental exam             - See your dentist twice a year for a cleaning and checkup.            Flu vaccine             - Get a flu vaccine each year.            Pneumonia vaccine             - Get this vaccine if you are younger than 64.      - If youre older than 64 and your vaccine was more than 5 years ago, get another one.            Hepatitis B vaccine             - Get this vaccine if youre younger than 60 and you have not already had the vaccine.      - Prevent exposure to Hepatitis B by not sharing blood glucose monitors or other diabetes equipment."
How many people are affected by Anxiety Disorders ?,Studies estimate that anxiety disorders affect around 15 percent of older adults in a given year. More women than men experience anxiety disorders. They tend to be less common among older adults than younger adults. But developing an anxiety disorder late in life is not a normal part of aging.
How many people are affected by X-linked sideroblastic anemia and ataxia ?,X-linked sideroblastic anemia and ataxia is a rare disorder; only a few affected families have been reported.
What are the symptoms of Epidermolysis bullosa acquisita ?,"What are the signs and symptoms of Epidermolysis bullosa acquisita? Symptoms of epidermolysis bullosa acquisita (EBA) usually occur in a person's 30s or 40s. The signs and symptoms can differ among affected people, and the condition has several distinct forms of onset. For example: Non-inflammatory or mildly inflammatory EBA affecting only trauma-prone skin (the ""classic"" form) may cause: tense, blood- or pus-filled blisters, mostly on the hands, knees, knuckles, elbows and ankles mucous-membrane blisters that rupture easily healing with significant scarring and small white spots (milia) Generalized inflammatory EBA may cause: widespread blisters that are not localized to trauma-prone sites generalized redness and itching healing with minimal scarring The mucous membrane form of EBA may cause: blisters on various mucous membranes significant scarring and dysfunction The features of the condition may change during the course of the disease or may represent two forms at the same time. The Human Phenotype Ontology provides the following list of signs and symptoms for Epidermolysis bullosa acquisita. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal blistering of the skin 90% Abnormality of the oral cavity 90% Abnormality of the nail 50% Abdominal pain 7.5% Abnormality of the intestine 7.5% Atypical scarring of skin 7.5% Pruritus 7.5% Thickened skin 7.5% Urticaria 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) carbamoyl phosphate synthetase I deficiency ?,"Carbamoyl phosphate synthetase I deficiency is an inherited disorder that causes ammonia to accumulate in the blood (hyperammonemia). Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The brain is especially sensitive to the effects of excess ammonia.  In the first few days of life, infants with carbamoyl phosphate synthetase I deficiency typically exhibit the effects of hyperammonemia, which may include unusual sleepiness, poorly regulated breathing rate or body temperature, unwillingness to feed, vomiting after feeding, unusual body movements, seizures, or coma. Affected individuals who survive the newborn period may experience recurrence of these symptoms if diet is not carefully managed or if they experience infections or other stressors. They may also have delayed development and intellectual disability.  In some people with carbamoyl phosphate synthetase I deficiency, signs and symptoms may be less severe and appear later in life."
